"matchid","season","Home","Away","Match_Date","Round","Match_Hour","weekDay","month","AWA_FLAG","Home_Score","Away_Score","Match_Result"
"04ouflDc","2010","kardemir karabuk","manisaspor",2010-08-15,1,20,"1","8",0,2,1,"Home"
"0AUXYwsk","2010","eskisehirspor","genclerbirligi",2010-08-14,1,21,"7","8",0,0,0,"Tie"
"6mVTZJRr","2010","gaziantepspor","kasimpasa",2010-08-14,1,19,"7","8",0,0,0,"Tie"
"6NaYWHB1","2010","sivasspor","galatasaray",2010-08-14,1,19,"7","8",0,2,1,"Home"
"8UlmhSsA","2010","ankaragucu","trabzonspor",2010-08-15,1,18,"1","8",0,0,2,"Away"
"jgvhincG","2010","bucaspor","besiktas",2010-08-14,1,21,"7","8",0,0,1,"Away"
"MDnyeUci","2010","fenerbahce","antalyaspor",2010-08-15,1,20,"1","8",0,4,0,"Home"
"Uwjqg8S3","2010","basaksehir","kayserispor",2010-08-16,1,20,"2","8",0,0,2,"Away"
"v1TyYcde","2010","bursaspor","konyaspor",2010-08-16,1,20,"2","8",0,1,0,"Home"
"2ZASfL38","2010","konyaspor","eskisehirspor",2010-08-20,2,20,"6","8",0,2,1,"Home"
"6iBSpyt1","2010","galatasaray","bursaspor",2010-08-22,2,20,"1","8",0,0,2,"Away"
"b14ygaYK","2010","kasimpasa","bucaspor",2010-08-23,2,20,"2","8",0,0,0,"Tie"
"ChIJncBl","2010","antalyaspor","sivasspor",2010-08-21,2,20,"7","8",0,1,1,"Tie"
"fH7OoHQf","2010","besiktas","basaksehir",2010-08-21,2,20,"7","8",0,0,2,"Away"
"GxFWguJE","2010","genclerbirligi","gaziantepspor",2010-08-22,2,19,"1","8",0,0,0,"Tie"
"pEbxWyR7","2010","manisaspor","ankaragucu",2010-08-22,2,21,"1","8",0,0,3,"Away"
"Uqe7mwdr","2010","trabzonspor","fenerbahce",2010-08-23,2,20,"2","8",0,3,2,"Home"
"xh3uhJmR","2010","kayserispor","kardemir karabuk",2010-08-20,2,20,"6","8",0,1,0,"Home"
"0EAWqee7","2010","sivasspor","bursaspor",2010-08-28,3,20,"7","8",0,0,2,"Away"
"2BIMbfA0","2010","gaziantepspor","konyaspor",2010-08-27,3,20,"6","8",0,2,2,"Tie"
"bVFV6I2K","2010","fenerbahce","manisaspor",2010-08-29,3,19,"1","8",0,4,2,"Home"
"Cxd60Gul","2010","eskisehirspor","galatasaray",2010-08-29,3,21,"1","8",0,1,3,"Away"
"foJIazef","2010","antalyaspor","trabzonspor",2010-08-30,3,20,"2","8",0,0,0,"Tie"
"hhFZ5xIQ","2010","kardemir karabuk","besiktas",2010-08-29,3,19,"1","8",0,1,4,"Away"
"KvHR7bmE","2010","bucaspor","genclerbirligi",2010-08-28,3,21,"7","8",0,3,1,"Home"
"UD611dQs","2010","basaksehir","kasimpasa",2010-08-28,3,19,"7","8",0,3,1,"Home"
"v59zqFAD","2010","ankaragucu","kayserispor",2010-08-27,3,19,"6","8",0,1,1,"Tie"
"EDC2BDv0","2010","galatasaray","gaziantepspor",2010-09-13,4,20,"2","9",0,1,0,"Home"
"EZ3dFFfs","2010","manisaspor","antalyaspor",2010-09-11,4,20,"7","9",0,1,2,"Away"
"fkNPKyXJ","2010","genclerbirligi","basaksehir",2010-09-13,4,20,"2","9",0,2,1,"Home"
"hQ20EZ9m","2010","trabzonspor","sivasspor",2010-09-13,4,18,"2","9",0,6,1,"Home"
"nm24DgPg","2010","konyaspor","bucaspor",2010-09-11,4,18,"7","9",0,1,1,"Tie"
"OQ6VdYvD","2010","kayserispor","fenerbahce",2010-09-11,4,18,"7","9",0,2,0,"Home"
"t2HQcEP6","2010","kasimpasa","kardemir karabuk",2010-09-13,4,18,"2","9",0,1,2,"Away"
"xUAZehfJ","2010","bursaspor","eskisehirspor",2010-09-10,4,19,"6","9",0,2,1,"Home"
"YuMTJenQ","2010","besiktas","ankaragucu",2010-09-11,4,20,"7","9",0,4,0,"Home"
"0IrrALKh","2010","bucaspor","galatasaray",2010-09-18,5,19,"7","9",0,0,1,"Away"
"425F8BOI","2010","antalyaspor","kayserispor",2010-09-18,5,19,"7","9",0,2,1,"Home"
"dx27AXg6","2010","fenerbahce","besiktas",2010-09-19,5,19,"1","9",0,1,1,"Tie"
"jqg8GNsP","2010","ankaragucu","kasimpasa",2010-09-18,5,17,"7","9",0,3,0,"Home"
"MRqvB15n","2010","basaksehir","konyaspor",2010-09-19,5,19,"1","9",0,1,0,"Home"
"rg4J7VwP","2010","sivasspor","eskisehirspor",2010-09-18,5,17,"7","9",0,1,1,"Tie"
"S4pzCsjt","2010","kardemir karabuk","genclerbirligi",2010-09-19,5,17,"1","9",0,3,0,"Home"
"tUau9uza","2010","gaziantepspor","bursaspor",2010-09-20,5,19,"2","9",1,0,3,"Away"
"zT0B9i9C","2010","trabzonspor","manisaspor",2010-09-17,5,19,"6","9",0,1,3,"Away"
"4vqXAhB3","2010","bursaspor","bucaspor",2010-09-24,6,19,"6","9",0,1,0,"Home"
"C0vUlBlp","2010","genclerbirligi","ankaragucu",2010-09-25,6,14,"7","9",0,1,0,"Home"
"GEnyACQ9","2010","konyaspor","kardemir karabuk",2010-09-26,6,14,"1","9",0,2,2,"Tie"
"IaMe7J4B","2010","manisaspor","sivasspor",2010-09-26,6,18,"1","9",0,3,0,"Home"
