"matchid","Home","Away","Bookmaker","HomeOdd","AwayOdd","TieOdd"
"0029LnfI","konyaspor","sivasspor","Betsson",2.825,2.56,3.275
"0029LnfI","konyaspor","sivasspor","Pinnacle",2.73,2.765,3.42
"0029LnfI","konyaspor","sivasspor","bet365",2.75,2.565,3.35
"0029LnfI","konyaspor","sivasspor","bwin",2.725,2.45,3.325
"00ApPQui","trabzonspor","galatasaray","Betfair",2.525,2.75,3.2
"00ApPQui","trabzonspor","galatasaray","Betsson",2.175,2.9,3.2
"00ApPQui","trabzonspor","galatasaray","Pinnacle",2.67,2.885,3.425
"00ApPQui","trabzonspor","galatasaray","bet365",2.25,3,3.25
"00ApPQui","trabzonspor","galatasaray","bwin",2.325,2.975,3.2
"00IbEw7m","akhisar-genclik-spor","gaziantepspor","Betsson",2.04,3.75,3.325
"00IbEw7m","akhisar-genclik-spor","gaziantepspor","Pinnacle",2.185,3.65,3.39
"00IbEw7m","akhisar-genclik-spor","gaziantepspor","bet365",2.175,3.35,3.25
"00IbEw7m","akhisar-genclik-spor","gaziantepspor","bwin",2.005,3.525,3.25
"027k6Jhk","osmanlispor","akhisar-genclik-spor","Betfair",1.925,3.75,3.35
"027k6Jhk","osmanlispor","akhisar-genclik-spor","Betsson",1.88,3.925,3.65
"027k6Jhk","osmanlispor","akhisar-genclik-spor","Pinnacle",1.915,4.595,3.6
"027k6Jhk","osmanlispor","akhisar-genclik-spor","bet365",1.89,3.9,3.3
"027k6Jhk","osmanlispor","akhisar-genclik-spor","bwin",1.905,3.9,3.35
"02UnjRBn","kardemir-karabuk","sivasspor","Betsson",2.22,3.1,3.3
"02UnjRBn","kardemir-karabuk","sivasspor","Pinnacle",2.46,3.09,3.395
"02UnjRBn","kardemir-karabuk","sivasspor","bet365",2.375,2.94,3.2
"02UnjRBn","kardemir-karabuk","sivasspor","bwin",2.2,3.075,3.325
"02ZoOUZA","goztepe","alanyaspor","Betsson",2.095,3.1,3.575
"02ZoOUZA","goztepe","alanyaspor","Pinnacle",2.125,3.44,3.79
"02ZoOUZA","goztepe","alanyaspor","bet365",2.02,3.275,3.5
"02ZoOUZA","goztepe","alanyaspor","bwin",2.05,3.325,3.4
"02gimML3","besiktas","galatasaray","Betsson",2.29,3,3.25
"02gimML3","besiktas","galatasaray","Pinnacle",2.37,3.325,3.295
